,task,category,status,file path,demo path,repo,branch,dir
0,single_file,reading_data,done,/Users/annabell/UofU/Sigman/python-modeling/demo/reading_data.py,/Users/annabell/UofU/Sigman/python-modeling/demo/single_file_demo.ipynb,python-modeling,anna,demo
1,multi_files,reading_data,todo,/Users/annabell/UofU/Sigman/python-modeling/demo/reading_data.py,,python-modeling,anna,demo
